Level,Name,Value,Location,Size,Type,Access,Scope
  2,"_mapper",,0x200024D0,600,"class PiecewiseLinearValueMapper<64>","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
   3,"<inherited members>",,0x200024D0,4,"class ValueMapper","public","wibot::accessor::PiecewiseLinearValueMapper<64>"
   3,"<inherited members>",,0x200024D4,528,"class Configurable<wibot::accessor::PiecewiseLinearValueMapperConfig<64> >","public","wibot::accessor::PiecewiseLinearValueMapper<64>"
    4,"config",,0x200024D8,524,"struct PiecewiseLinearValueMapperConfig<64>","private","Configurable<wibot::accessor::PiecewiseLinearValueMapperConfig<64> >"
     5,"in_points",,0x200024E4,256,"unsigned long[64]","public","wibot::accessor::PiecewiseLinearValueMapperConfig<64>"
      6,"[0]",0,0x200024E4,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[1]",512621,0x200024E8,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[2]",1039475,0x200024EC,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[3]",1077746,0x200024F0,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[4]",1118273,0x200024F4,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[5]",1147388,0x200024F8,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[6]",1185338,0x200024FC,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[7]",1215211,0x20002500,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[8]",1246722,0x20002504,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[9]",1280157,0x20002508,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[10]",1311416,0x2000250C,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[11]",1336898,0x20002510,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[12]",1364169,0x20002514,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[13]",1410249,0x20002518,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[14]",1438767,0x2000251C,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[15]",1463501,0x20002520,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[16]",1498299,0x20002524,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[17]",1534931,0x20002528,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[18]",1561245,0x2000252C,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[19]",1586183,0x20002530,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[20]",1620867,0x20002534,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[21]",1354410,0x20002538,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[22]",1357039,0x2000253C,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[23]",1390340,0x20002540,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[24]",1007536,0x20002544,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[25]",799823,0x20002548,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[26]",820843,0x2000254C,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[27]",867136,0x20002550,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[28]",894195,0x20002554,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[29]",911763,0x20002558,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[30]",945660,0x2000255C,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[31]",996708,0x20002560,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[32]",1027840,0x20002564,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[33]",1048695,0x20002568,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[34]",1099858,0x2000256C,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[35]",1132164,0x20002570,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[36]",1163967,0x20002574,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[37]",1199623,0x20002578,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[38]",1244003,0x2000257C,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[39]",1268848,0x20002580,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[40]",1299080,0x20002584,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[41]",1345759,0x20002588,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[42]",1372575,0x2000258C,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[43]",713376,0x20002590,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[44]",1057429,0x20002594,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[45]",1102629,0x20002598,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[46]",1135270,0x2000259C,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[47]",1163185,0x200025A0,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[48]",1188913,0x200025A4,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[49]",1228431,0x200025A8,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[50]",1258452,0x200025AC,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[51]",1280427,0x200025B0,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[52]",1315433,0x200025B4,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[53]",1342439,0x200025B8,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[54]",1374463,0x200025BC,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[55]",1412131,0x200025C0,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[56]",1444169,0x200025C4,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[57]",1471225,0x200025C8,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[58]",1501467,0x200025CC,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[59]",1540696,0x200025D0,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[60]",1564949,0x200025D4,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[61]",1594095,0x200025D8,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[62]",1631629,0x200025DC,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
      6,"[63]",1672402,0x200025E0,4,"unsigned long",,"AbsoluteEncoderPositionSpeedSensor.cpp"
     5,"in_wrap",2097152,0x200024DC,4,"unsigned long","public","wibot::accessor::PiecewiseLinearValueMapperConfig<64>"
     5,"out_points",,0x200025E4,256,"float[64]","public","wibot::accessor::PiecewiseLinearValueMapperConfig<64>"
     5,"out_wrap",6.28318548,0x200024E0,4,"float","public","wibot::accessor::PiecewiseLinearValueMapperConfig<64>"
     5,"zero_offset",728253,0x200024D8,4,"unsigned long","public","wibot::accessor::PiecewiseLinearValueMapperConfig<64>"
    4,"Configurable<wibot::accessor::PiecewiseLinearValueMapperConfig<64> >::apply_config(class Configurable<wibot::accessor::PiecewiseLinearValueMapperConfig<64> >*)",,0x0800EE64,22,"virtual enum Result()","private","Configurable<wibot::accessor::PiecewiseLinearValueMapperConfig<64> >"
   3,"_cal_count","\001ddddddddddddddddddddddddddddddd...",0x200026E8,64,"unsigned char[64]","private","wibot::accessor::PiecewiseLinearValueMapper<64>"
   3,"_last_value",0,0x200026E4,4,"float","private","wibot::accessor::PiecewiseLinearValueMapper<64>"
   3,"PiecewiseLinearValueMapper<64>::calibrate(class PiecewiseLinearValueMapper<64>*, unsigned char, long unsigned int, float)",,0x0800F046,138,"void(unsigned char, unsigned long, float)","private","wibot::accessor::PiecewiseLinearValueMapper<64>"
   3,"PiecewiseLinearValueMapper<64>::calibrate_begin(class PiecewiseLinearValueMapper<64>*)",,0x0800EFF0,86,"void()","private","wibot::accessor::PiecewiseLinearValueMapper<64>"
   3,"PiecewiseLinearValueMapper<64>::calibrate_end(class PiecewiseLinearValueMapper<64>*)",,0x0800F0D0,186,"void()","private","wibot::accessor::PiecewiseLinearValueMapper<64>"
   3,"PiecewiseLinearValueMapper<64>::set_zero_offset(class PiecewiseLinearValueMapper<64>*, long unsigned int)",,0x0800EFD4,28,"void(unsigned long)","private","wibot::accessor::PiecewiseLinearValueMapper<64>"
   3,"PiecewiseLinearValueMapper<64>::value_get(class PiecewiseLinearValueMapper<64>*, long unsigned int)",,0x0800EE7C,344,"virtual float(unsigned long)","private","wibot::accessor::PiecewiseLinearValueMapper<64>"
   3,"PiecewiseLinearValueMapper<64>::wrap(class PiecewiseLinearValueMapper<64>*, long int)",,0x0800F18A,68,"unsigned long(long int)","private","wibot::accessor::PiecewiseLinearValueMapper<64>"
  2,"_PP_TS",6999.99951,0x200027B0,4,"float","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"AbsoluteEncoderPositionSpeedSensor::AbsoluteEncoderPositionSpeedSensor(class AbsoluteEncoderPositionSpeedSensor*)",,,4,"class AbsoluteEncoderPositionSpeedSensor*()","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"AbsoluteEncoderPositionSpeedSensor::apply_config(class AbsoluteEncoderPositionSpeedSensor*)",,0x0800E790,464,"virtual enum Result()","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"AbsoluteEncoderPositionSpeedSensor::calibrate(class AbsoluteEncoderPositionSpeedSensor*, struct Motor&)",,0x0800EB68,516,"virtual void(struct Motor&)","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"AbsoluteEncoderPositionSpeedSensor::calibrate_rotate(class AbsoluteEncoderPositionSpeedSensor*, struct Motor&)",,,0,"void(struct Motor&)","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"AbsoluteEncoderPositionSpeedSensor::get_position_nowrap(const class AbsoluteEncoderPositionSpeedSensor*)",,,0,"float()","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"AbsoluteEncoderPositionSpeedSensor::get_position_without_filter(const class AbsoluteEncoderPositionSpeedSensor*)",,,0,"float()","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"AbsoluteEncoderPositionSpeedSensor::position_speed_get(class AbsoluteEncoderPositionSpeedSensor*, struct Motor&, struct Vector2<float>&, struct Vector2<float>&)",,0x0800E968,512,"virtual void(struct Motor&, struct Vector2<float>&, struct Vector2<float>&)","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"AbsoluteEncoderPositionSpeedSensor::rotate(const class AbsoluteEncoderPositionSpeedSensor*, struct Motor&, float, float, long unsigned int, long unsigned int)",,0x0800EDC6,158,"void(struct Motor&, float, float, unsigned long, unsigned long)","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"AbsoluteEncoderPositionSpeedSensor::sample_data(class AbsoluteEncoderPositionSpeedSensor*, const struct Motor&, long unsigned int)",,0x0800ED6C,90,"void(const struct Motor&, unsigned long)","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"filter_pos_e_",,0x20002748,32,"class FirstOrderLowPassFilter","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"filter_pos_m_",,0x20002728,32,"class FirstOrderLowPassFilter","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"filter_spd_e_",,0x20002788,32,"class FirstOrderLowPassFilter","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"filter_spd_m_",,0x20002768,32,"class FirstOrderLowPassFilter","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"last_pos_m_",0,0x200024CC,4,"float","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"last_pos_m_raw_",0,0x200024C4,4,"float","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"round_m_",0,0x200024C8,4,"long","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
 1,"_powerSensor",,0x2000240C,56,"class SamplingPowerSensor","private","wibot::motor::FocControl"
 1,"_sectionSensor",,0x200027B4,4,"class DirectSectionSensor","private","wibot::motor::FocControl"
 1,"_speedController",,0x20002874,92,"class FocPidSpeedController","private","wibot::motor::FocControl"
 1,"FocControl::apply_config(class FocControl*)",,0x0800E274,640,"virtual enum Result()","private","wibot::motor::FocControl"
 1,"FocControl::calibrate(class FocControl*, struct Motor&)",,0x0800E154,288,"void(struct Motor&)","private","wibot::motor::FocControl"
 1,"FocControl::command_loop(class FocControl*, struct Motor&)",,0x0800E0A8,172,"void(struct Motor&)","private","wibot::motor::FocControl"
 1,"FocControl::FocControl(class FocControl*, class PwmDriver*)",,,4,"class FocControl*(class PwmDriver*)","private","wibot::motor::FocControl"
 1,"FocControl::hf_loop(class FocControl*, struct Motor&)",,0x0800E060,32,"void(struct Motor&)","private","wibot::motor::FocControl"
 1,"FocControl::lf_loop(class FocControl*, struct Motor&)",,0x0800E040,32,"void(struct Motor&)","private","wibot::motor::FocControl"
 1,"FocControl::set_command(class FocControl*, struct Motor&, struct FocCommand&)",,0x0800E080,38,"void(struct Motor&, struct FocCommand&)","private","wibot::motor::FocControl"
0,"innerloopThd",,0x20005070,176,"struct TX_THREAD_STRUCT",,"test.cpp"
0,"innerloopThdStack","\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357...",0x20002960,5000,"unsigned char[5000]",,"test.cpp"
0,"mtr",,0x20002104,148,"struct Motor",,"test.cpp"
0,"outerloopThd",,0x20005120,176,"struct TX_THREAD_STRUCT",,"test.cpp"
0,"outerloopThdStack","\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357\357...",0x20003CE8,5000,"unsigned char[5000]",,"test.cpp"
0,"u_bus",,0x20002384,8,"class MemoryDataSource",,"test.cpp"
